YEAR,QUARTER,ORIGIN,DEST,avg_fare,passengers_db1b,market_distance,passengers_t100,seats,departures_performed,avg_fuel_price,load_factor,route,is_saturated
2025,1,ABY,SDF,287.72222222222223,10.0,466.0,0.0,0.0,58.0,2.2231333333333336,,ABY-SDF,0
2025,1,ACT,BWI,610.8333333333334,3.0,1306.0,123.0,155.0,1.0,2.2231333333333336,0.7935483870967742,ACT-BWI,0
2025,1,ACT,COS,325.9563636363636,12.0,681.0,0.0,50.0,1.0,2.2231333333333336,0.0,ACT-COS,0
2025,1,ACT,CVG,349.578,10.0,972.3,73.0,336.0,2.0,2.2231333333333336,0.21726190476190477,ACT-CVG,0
2025,1,ACT,DEN,286.6618181818182,53.0,758.8863636363636,0.0,50.0,1.0,2.2231333333333336,0.0,ACT-DEN,0
2025,1,ACT,DFW,133.67222222222222,11.0,89.0,11714.0,17474.0,263.0,2.2231333333333336,0.670367402998741,ACT-DFW,0
2025,1,ACT,EWR,286.61777777777775,9.0,1471.3333333333333,44.0,218.0,3.0,2.2231333333333336,0.2018348623853211,ACT-EWR,0
2025,1,ACT,GPT,252.66666666666666,3.0,589.0,0.0,65.0,1.0,2.2231333333333336,0.0,ACT-GPT,0
2025,1,ACT,HOU,344.0,1.0,336.0,0.0,65.0,1.0,2.2231333333333336,0.0,ACT-HOU,0
2025,1,ACT,LCH,5.5,1.0,384.0,0.0,65.0,1.0,2.2231333333333336,0.0,ACT-LCH,0
2025,1,ACT,MHK,263.25,4.0,520.0,90.0,143.0,2.0,2.2231333333333336,0.6293706293706294,ACT-MHK,0
2025,1,ACT,RDU,314.10117647058826,18.0,1150.2941176470588,118.0,180.0,1.0,2.2231333333333336,0.6555555555555556,ACT-RDU,0
2025,1,ACT,SAT,165.75,2.0,336.0,0.0,65.0,1.0,2.2231333333333336,0.0,ACT-SAT,0
2025,1,ACT,SLC,265.92315789473685,19.0,1078.0,50.0,186.0,1.0,2.2231333333333336,0.26881720430107525,ACT-SLC,0
2025,1,ACT,SWO,159.5,1.0,314.0,49.0,225.0,2.0,2.2231333333333336,0.21777777777777776,ACT-SWO,0
2025,1,ACV,BUR,108.26183673469389,453.0,565.0571428571428,4585.0,5851.0,39.0,2.2231333333333336,0.7836267304734233,ACV-BUR,0
2025,1,ACV,COS,207.14,2.0,1401.0,0.0,70.0,1.0,2.2231333333333336,0.0,ACV-COS,0
2025,1,ACV,DEN,210.59,108.0,1099.8415841584158,4556.0,5080.0,70.0,2.2231333333333336,0.8968503937007875,ACV-DEN,1
2025,1,ACV,FAT,294.84117647058827,19.0,410.94117647058823,0.0,152.0,2.0,2.2231333333333336,0.0,ACV-FAT,0
2025,1,ACV,LAX,221.94169014084508,283.0,583.7887323943662,4238.0,6462.0,90.0,2.2231333333333336,0.6558341070875889,ACV-LAX,0
2025,1,ACV,PSC,168.125,4.0,870.0,0.0,70.0,1.0,2.2231333333333336,0.0,ACV-PSC,0
2025,1,ACV,SEA,252.39347826086959,52.0,929.0,0.0,70.0,1.0,2.2231333333333336,0.0,ACV-SEA,0
2025,1,ACV,SFO,197.63484304932734,311.0,250.0,14341.0,18224.0,255.0,2.2231333333333336,0.7869293239683933,ACV-SFO,0
2025,1,ACV,SMF,296.4230769230769,13.0,336.0,0.0,0.0,66.0,2.2231333333333336,,ACV-SMF,0
2025,1,AEX,ATL,308.8419298245614,144.0,519.2982456140351,10106.0,17251.0,246.0,2.2231333333333336,0.5858211118196046,AEX-ATL,0
2025,1,AEX,AUS,386.8333333333333,6.0,475.0,0.0,150.0,1.0,2.2231333333333336,0.0,AEX-AUS,0
2025,1,AEX,CSG,239.26,6.0,583.0,266.0,1416.0,8.0,2.2231333333333336,0.18785310734463276,AEX-CSG,0
2025,1,AEX,DFW,273.3974324324324,101.0,285.1756756756757,9670.0,16640.0,256.0,2.2231333333333336,0.5811298076923077,AEX-DFW,0
2025,1,AEX,ELP,417.2434482758621,37.0,836.0,855.0,1287.0,7.0,2.2231333333333336,0.6643356643356644,AEX-ELP,0
2025,1,AEX,HRL,358.0,4.0,746.0,5249.0,11818.0,69.0,2.2231333333333336,0.4441529869690303,AEX-HRL,0
2025,1,AEX,LRD,436.0,1.0,681.0,94.0,180.0,1.0,2.2231333333333336,0.5222222222222223,AEX-LRD,0
2025,1,AEX,MAF,352.27272727272725,23.0,594.0,0.0,65.0,1.0,2.2231333333333336,0.0,AEX-MAF,0
2025,1,AEX,SAN,416.40875,17.0,1631.5,53.0,570.0,3.0,2.2231333333333336,0.09298245614035087,AEX-SAN,0
2025,1,AEX,SAT,291.44444444444446,24.0,532.0,37.0,310.0,2.0,2.2231333333333336,0.11935483870967742,AEX-SAT,0
2025,1,AGS,ATL,223.0351923076923,56.0,143.0,39614.0,48846.0,599.0,2.2231333333333336,0.8109978299144249,AGS-ATL,1
2025,1,AGS,CLT,253.06083333333333,13.0,140.0,20362.0,25626.0,433.0,2.2231333333333336,0.7945836260048388,AGS-CLT,0
2025,1,AGS,DCA,292.60709497206705,221.0,543.8826815642458,2406.0,4280.0,65.0,2.2231333333333336,0.5621495327102803,AGS-DCA,0
2025,1,AGS,DFW,310.5728571428572,490.0,921.9809523809524,8512.0,10314.0,136.0,2.2231333333333336,0.8252860190032965,AGS-DFW,1
2025,1,AGS,GPT,279.3181818181818,11.0,575.7272727272727,548.0,744.0,4.0,2.2231333333333336,0.7365591397849462,AGS-GPT,0
2025,1,AGS,GRK,397.64,26.0,1039.076923076923,76.0,312.0,2.0,2.2231333333333336,0.24358974358974358,AGS-GRK,0
2025,1,AGS,MYR,447.25,2.0,297.0,0.0,372.0,2.0,2.2231333333333336,0.0,AGS-MYR,0
2025,1,ALB,ATL,317.3800392927308,808.0,889.1296660117878,30674.0,40740.0,248.0,2.2231333333333336,0.7529209621993127,ALB-ATL,0
2025,1,ALB,DFW,314.69823232323233,446.0,1509.1313131313132,4854.0,7134.0,48.0,2.2231333333333336,0.68040370058873,ALB-DFW,0
2025,1,AMA,AUS,183.44880758807588,479.0,475.68021680216805,3653.0,6488.0,40.0,2.2231333333333336,0.563039457459926,AMA-AUS,0
2025,1,AMA,DAL,154.22509132420092,860.0,323.351598173516,27396.0,45822.0,290.0,2.2231333333333336,0.5978787481995548,AMA-DAL,0
2025,1,AMA,DEN,185.48426229508198,165.0,359.0,6855.0,9011.0,176.0,2.2231333333333336,0.7607368771501498,AMA-DEN,0
2025,1,AMA,DFW,217.37917159763316,539.0,319.90236686390534,29646.0,38439.0,513.0,2.2231333333333336,0.7712479512994614,AMA-DFW,0
2025,1,AMA,HOU,228.2399470899471,299.0,557.7407407407408,167.0,429.0,3.0,2.2231333333333336,0.38927738927738925,AMA-HOU,0
2025,1,AMA,HSV,284.3176923076923,13.0,1005.9230769230769,0.0,50.0,1.0,2.2231333333333336,0.0,AMA-HSV,0
2025,1,AMA,IAH,262.7623465703971,362.0,522.3212996389892,8059.0,11392.0,223.0,2.2231333333333336,0.7074262640449438,AMA-IAH,0
2025,1,AMA,LAS,241.08012307692306,538.0,899.6,7664.0,14280.0,88.0,2.2231333333333336,0.5366946778711484,AMA-LAS,0
2025,1,AMA,OKC,320.54875,9.0,496.625,0.0,70.0,1.0,2.2231333333333336,0.0,AMA-OKC,0
2025,1,AMA,PHX,249.33575418994414,200.0,1149.0391061452515,134.0,205.0,2.0,2.2231333333333336,0.6536585365853659,AMA-PHX,0
2025,1,AMA,SHR,443.0,1.0,718.0,0.0,50.0,1.0,2.2231333333333336,0.0,AMA-SHR,0
2025,1,ANC,ATL,546.5393939393939,329.0,3618.6742424242425,0.0,0.0,11.0,2.2231333333333336,,ANC-ATL,0
2025,1,ANC,DFW,462.4363132530121,522.0,3132.373493975904,5628.0,6100.0,151.0,2.2231333333333336,0.9226229508196722,ANC-DFW,1
2025,1,ANC,LAX,344.04963562753034,1025.0,2402.0715249662617,12169.0,14081.0,253.0,2.2231333333333336,0.864214189333144,ANC-LAX,1
2025,1,ANC,OAK,357.9127419354839,67.0,2121.3709677419356,0.0,0.0,88.0,2.2231333333333336,,ANC-OAK,0
2025,1,ANC,ONT,397.70045045045043,124.0,2414.5135135135133,0.0,0.0,133.0,2.2231333333333336,,ANC-ONT,0
2025,1,ANC,SFO,408.56197478991595,280.0,2221.8655462184875,328.0,350.0,1.0,2.2231333333333336,0.9371428571428572,ANC-SFO,1
2025,1,ASE,AMA,250.0,3.0,484.0,0.0,70.0,1.0,2.2231333333333336,0.0,ASE-AMA,0
2025,1,ASE,ATL,522.5703448275862,309.0,1333.6206896551723,7339.0,10818.0,166.0,2.2231333333333336,0.6784063597707525,ASE-ATL,0
2025,1,ASE,AUS,459.1973090909091,398.0,840.9563636363637,3329.0,5395.0,83.0,2.2231333333333336,0.617052826691381,ASE-AUS,0
2025,1,ASE,DFW,550.1146808510639,655.0,716.0942249240121,22058.0,26325.0,405.0,2.2231333333333336,0.8379107312440646,ASE-DFW,1
2025,1,ASE,IAH,449.2188888888889,651.0,931.6037735849056,12220.0,16660.0,238.0,2.2231333333333336,0.7334933973589436,ASE-IAH,0
2025,1,ASE,LAX,386.44184158415845,1561.0,746.7683168316831,19377.0,27576.0,405.0,2.2231333333333336,0.7026762402088773,ASE-LAX,0
2025,1,ASE,PSP,339.4956862745098,54.0,918.9803921568628,0.0,70.0,1.0,2.2231333333333336,0.0,ASE-PSP,0
2025,1,ASE,SFO,403.37510869565216,733.0,860.0891304347826,8888.0,13510.0,193.0,2.2231333333333336,0.6578830495928941,ASE-SFO,0
2025,1,ASE,SPS,548.0,1.0,814.0,0.0,65.0,1.0,2.2231333333333336,0.0,ASE-SPS,0
2025,1,ATL,ABE,322.12732704402515,445.0,695.3301886792453,15960.0,19253.0,254.0,2.2231333333333336,0.8289617202513894,ATL-ABE,1
2025,1,ATL,ABQ,339.1089249492901,783.0,1344.8539553752535,31838.0,40173.0,223.0,2.2231333333333336,0.7925223408757125,ATL-ABQ,0
2025,1,ATL,ABY,209.8289655172414,32.0,145.0,7424.0,17192.0,240.0,2.2231333333333336,0.43182875756165656,ATL-ABY,0
2025,1,ATL,ACY,133.63636363636363,11.0,958.7272727272727,158.0,229.0,1.0,2.2231333333333336,0.6899563318777293,ATL-ACY,0
2025,1,ATL,AEX,302.0518260869565,152.0,518.6608695652174,10254.0,17103.0,244.0,2.2231333333333336,0.5995439396597089,ATL-AEX,0
2025,1,ATL,AGS,196.7489285714286,63.0,143.0,38429.0,48917.0,600.0,2.2231333333333336,0.7855960095672261,ATL-AGS,0
2025,1,ATL,ALB,317.40629981024665,815.0,886.6888045540798,32097.0,40906.0,249.0,2.2231333333333336,0.7846526181978194,ATL-ALB,0
2025,1,ATL,ANC,536.6693258426966,328.0,3651.554307116105,0.0,0.0,12.0,2.2231333333333336,,ATL-ANC,0
2025,1,ATL,ASE,483.4829100529101,292.0,1331.2116402116403,7279.0,10103.0,155.0,2.2231333333333336,0.720479065624072,ATL-ASE,0
2025,1,ATL,ATW,364.60831050228313,233.0,868.62100456621,6629.0,7639.0,89.0,2.2231333333333336,0.8677837413273989,ATL-ATW,1
2025,1,ATL,AUS,270.3102229157378,10334.0,835.3713776192599,280398.0,363312.0,1990.0,2.2231333333333336,0.7717829303738936,ATL-AUS,0
2025,1,ATL,AVL,247.60349056603775,123.0,165.4433962264151,40070.0,47553.0,507.0,2.2231333333333336,0.8426387399322861,ATL-AVL,1
2025,1,ATL,BDL,269.3894369973191,2471.0,885.5361930294906,71739.0,91315.0,503.0,2.2231333333333336,0.7856212013360346,ATL-BDL,0
2025,1,ATL,BGR,341.63604166666664,96.0,1159.1666666666667,0.0,186.0,1.0,2.2231333333333336,0.0,ATL-BGR,0
2025,1,ATL,BHM,256.16008771929825,140.0,134.0,84926.0,105091.0,674.0,2.2231333333333336,0.8081186780980293,ATL-BHM,1
2025,1,ATL,BMI,330.9081278538813,307.0,539.1095890410959,10959.0,13333.0,176.0,2.2231333333333336,0.8219455486387159,ATL-BMI,1
2025,1,ATL,BNA,269.9187009345795,2066.0,214.12803738317757,111118.0,145422.0,866.0,2.2231333333333336,0.764107218990249,ATL-BNA,0
2025,1,ATL,BOI,369.71444444444444,556.0,1960.0685579196218,14739.0,17524.0,101.0,2.2231333333333336,0.8410750970098151,ATL-BOI,1
2025,1,ATL,BOS,261.77454864154254,10121.0,965.2161846333626,166993.0,202224.0,1128.0,2.2231333333333336,0.8257823008149379,ATL-BOS,1
2025,1,ATL,BQK,232.34056910569106,185.0,238.6178861788618,11636.0,17342.0,244.0,2.2231333333333336,0.67097220620459,ATL-BQK,0
2025,1,ATL,BTR,287.3418082788671,584.0,465.359477124183,31231.0,37161.0,403.0,2.2231333333333336,0.8404241005355076,ATL-BTR,1
2025,1,ATL,BTV,297.0130844155844,359.0,1049.357142857143,11059.0,14043.0,88.0,2.2231333333333336,0.7875097913551236,ATL-BTV,0
2025,1,ATL,BUF,250.46065982404693,1239.0,796.0043988269795,37171.0,51105.0,279.0,2.2231333333333336,0.7273456608942374,ATL-BUF,0
2025,1,ATL,BUR,392.23778787878786,780.0,2005.4242424242425,16820.0,19228.0,148.0,2.2231333333333336,0.874765966299147,ATL-BUR,1
2025,1,ATL,BWI,176.86980034423408,8099.0,588.5074010327022,170148.0,246279.0,1435.0,2.2231333333333336,0.6908749832507035,ATL-BWI,0
2025,1,ATL,BZN,450.4922505800464,811.0,1740.6334106728539,19115.0,23044.0,116.0,2.2231333333333336,0.8295000867904878,ATL-BZN,1
2025,1,ATL,CAE,281.87627118644065,207.0,192.68926553672316,54982.0,64654.0,643.0,2.2231333333333336,0.8504036873201968,ATL-CAE,1
2025,1,ATL,CHA,174.94387096774193,70.0,106.0,47875.0,58235.0,674.0,2.2231333333333336,0.8221001116167254,ATL-CHA,1
2025,1,ATL,CHO,286.25092936802974,403.0,461.30483271375465,19552.0,24122.0,323.0,2.2231333333333336,0.8105463891882928,ATL-CHO,1
2025,1,ATL,CHS,269.6765051903114,1274.0,262.15397923875435,96014.0,110535.0,654.0,2.2231333333333336,0.8686298457502148,ATL-CHS,1
2025,1,ATL,CID,323.63034782608696,269.0,814.908695652174,11375.0,14254.0,91.0,2.2231333333333336,0.7980216079696927,ATL-CID,0
2025,1,ATL,CLE,232.74872695852534,3976.0,588.7471198156682,93678.0,129038.0,736.0,2.2231333333333336,0.7259721942373565,ATL-CLE,0
2025,1,ATL,CLL,354.82758620689657,64.0,895.0,114.0,216.0,2.0,2.2231333333333336,0.5277777777777778,ATL-CLL,0
2025,1,ATL,CLT,312.96142979452054,2042.0,226.07448630136986,87493.0,119833.0,1195.0,2.2231333333333336,0.7301244231555581,ATL-CLT,0
2025,1,ATL,CMH,243.73564965197215,3172.0,474.6763341067285,94305.0,124596.0,747.0,2.2231333333333336,0.7568862563806221,ATL-CMH,0
2025,1,ATL,COS,291.0713368983957,513.0,1296.4705882352941,12220.0,15221.0,102.0,2.2231333333333336,0.8028381840877735,ATL-COS,1
2025,1,ATL,COU,352.7756,26.0,1125.0,41.0,50.0,1.0,2.2231333333333336,0.82,ATL-COU,1
2025,1,ATL,CRW,270.1008906882591,287.0,365.1336032388664,17845.0,21993.0,309.0,2.2231333333333336,0.8113945346246533,ATL-CRW,1
2025,1,ATL,CSG,75.8341935483871,35.0,83.0,10843.0,17004.0,236.0,2.2231333333333336,0.6376734885909198,ATL-CSG,0
2025,1,ATL,CVG,278.380306122449,1992.0,383.0827664399093,86216.0,103602.0,759.0,2.2231333333333336,0.832184706858941,ATL-CVG,1
2025,1,ATL,DAB,272.86555851063827,688.0,370.1010638297872,48302.0,57939.0,362.0,2.2231333333333336,0.8336698941990714,ATL-DAB,1
2025,1,ATL,DAL,246.5713407550823,7992.0,737.1558567279768,156078.0,210590.0,1552.0,2.2231333333333336,0.7411463032432689,ATL-DAL,0
2025,1,ATL,DAY,275.77281105990784,617.0,444.82488479262673,29543.0,35215.0,331.0,2.2231333333333336,0.8389322731790431,ATL-DAY,1
2025,1,ATL,DCA,236.32832140727487,9262.0,552.5641025641025,173789.0,236766.0,1628.0,2.2231333333333336,0.7340116401848238,ATL-DCA,0
2025,1,ATL,DEN,249.29455026455025,10310.0,1244.6597048175995,193349.0,224629.0,1260.0,2.2231333333333336,0.8607481669775496,ATL-DEN,1
2025,1,ATL,DFW,259.2975043706293,24632.0,743.1088286713286,427608.0,551506.0,3080.0,2.2231333333333336,0.7753460524454856,ATL-DFW,0
2025,1,ATL,DHN,275.61261904761903,48.0,170.0,11159.0,16869.0,241.0,2.2231333333333336,0.6615092773726955,ATL-DHN,0
2025,1,ATL,DSM,335.2802714932127,626.0,819.4230769230769,24414.0,28846.0,262.0,2.2231333333333336,0.8463565139014074,ATL-DSM,1
2025,1,ATL,DTW,246.3540082644628,7923.0,639.8425995492112,172856.0,222790.0,1166.0,2.2231333333333336,0.7758696530364918,ATL-DTW,0
2025,1,ATL,ECP,263.3054296875,469.0,240.0,56792.0,68482.0,497.0,2.2231333333333336,0.8292982097485471,ATL-ECP,1
2025,1,ATL,EGE,558.3620418848167,835.0,1330.735602094241,20480.0,29779.0,155.0,2.2231333333333336,0.6877329661842237,ATL-EGE,0
2025,1,ATL,ELP,337.3393913043478,1382.0,1384.3760869565217,42834.0,54956.0,330.0,2.2231333333333336,0.7794235388310649,ATL-ELP,0
2025,1,ATL,EVV,299.6644099378882,203.0,360.1366459627329,14164.0,18349.0,243.0,2.2231333333333336,0.7719221755954003,ATL-EVV,0
2025,1,ATL,EWR,205.01555109684324,12719.0,751.6990369181381,189123.0,234750.0,1469.0,2.2231333333333336,0.8056357827476038,ATL-EWR,1
2025,1,ATL,EYW,338.1001744186047,699.0,655.6802325581396,40070.0,46217.0,354.0,2.2231333333333336,0.8669969924486661,ATL-EYW,1
2025,1,ATL,FAR,409.0947619047619,133.0,1224.7619047619048,484.0,540.0,3.0,2.2231333333333336,0.8962962962962963,ATL-FAR,1
2025,1,ATL,FAT,354.9080808080808,684.0,2078.7138047138046,13954.0,20800.0,130.0,2.2231333333333336,0.6708653846153846,ATL-FAT,0
2025,1,ATL,FAY,234.11423913043475,221.0,331.2826086956522,17678.0,23945.0,317.0,2.2231333333333336,0.738275214032157,ATL-FAY,0
