model,RMSE,MAPE,R2
gradient_boosting,60.86771657748215,0.20654542567941314,0.36378539923265263
linear_regression,65.8360975068145,0.22031530200885935,0.2556832852729436
pca_regression,65.83609750681646,0.22031530200885743,0.2556832852728995
