component,explained_variance_ratio,cumulative_explained_variance
PC1,0.3080870019750241,0.3080870019750241
PC2,0.17059823916273212,0.47868524113775623
PC3,0.1350762728098017,0.613761513947558
PC4,0.11248458660005888,0.7262461005476168
PC5,0.06672284128354125,0.7929689418311581
PC6,0.05564237742307067,0.8486113192542287
PC7,0.03800622497291697,0.8866175442271457
PC8,0.03400428845814882,0.9206218326852945
PC9,0.030805705211737353,0.9514275378970318
