feature,coefficient,abs_coefficient
route_weather_delay_share,4569.463143584658,4569.463143584658
route_avg_arr_delay_rate,-2850.8974460923305,2850.8974460923305
route_nas_delay_share,1414.7537158646094,1414.7537158646094
route_avg_cancel_rate,-1223.745979855637,1223.745979855637
route_late_aircraft_delay_share,760.7741863660075,760.7741863660075
route_carrier_delay_share,425.7927531321782,425.7927531321782
competition_cancel_rate,122.2231250558059,122.2231250558059
competition_delay15_rate,-18.94748276600484,18.94748276600484
is_saturated,10.664132284520347,10.664132284520347
route_avg_load_factor,-8.443946664699864,8.443946664699864
lag_load_factor,-8.443946664655817,8.443946664655817
rolling_load_factor_2,-8.443946664407475,8.443946664407475
load_factor,-8.443946664403848,8.443946664403848
competition_unique_carriers,-7.5819464697928804,7.5819464697928804
market_distance,0.07194797637941908,0.07194797637941908
competition_avg_delay,0.029097161341032938,0.029097161341032938
competition_flights,0.01838891059358452,0.01838891059358452
passengers_db1b,-0.0010758075167917591,0.0010758075167917591
avg_fuel_price,6.492584248007915e-13,6.492584248007915e-13
